id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
41,2528,1660,512,51,81,1696.0,575.4375,0.9221303462982178,0.9695906639099121,0,0,2048,1364
42,11008,1688,650,92,219,1696.0,660.6875,0.9218337535858154,0.9555871486663818,0,0,2048,1364
43,40007,773,947,187,336,928.0,1129.5625,0.9215148687362671,0.9609355926513672,0,0,2048,1364
44,6321,1747,1115,125,74,1824.0,1129.5625,0.9207113981246948,0.9605079889297485,0,0,2048,1364
45,20216,713,642,189,179,736.0,745.9375,0.9207064509391785,0.953707754611969,0,0,2048,1364
46,1303,1847,603,42,35,1888.0,618.0625,0.9201807975769043,0.9779969453811646,0,0,2048,1364
47,14423,1159,179,98,170,1248.0,234.4375,0.9181780815124512,0.9541327953338623,0,0,2048,1364
48,5870,1079,590,92,73,1120.0,618.0625,0.9174360036849976,0.9689857363700867,0,0,2048,1364
49,18749,0,582,128,192,96.0,618.0625,0.9135758876800537,0.9604617357254028,0,0,2048,1364
50,2092,328,568,46,67,352.0,575.4375,0.912236213684082,0.9671052694320679,0,0,2048,1364
51,54359,79,0,469,143,288.0,106.5625,0.9114478826522827,0.9628501534461975,0,0,2048,1364
52,1775,530,722,40,63,544.0,745.9375,0.9108721017837524,0.97062087059021,0,0,2048,1364
53,5895,138,529,70,109,160.0,618.0625,0.9103814363479614,0.9673224687576294,0,0,2048,1364
54,12796,883,1136,97,227,928.0,1257.4375,0.9097055196762085,0.9515981078147888,0,0,2048,1364
55,45946,482,895,278,217,544.0,1086.9375,0.9079816341400146,0.9622500538825989,0,0,2048,1364
56,2683,846,1245,59,79,864.0,1300.0625,0.907863974571228,0.9648866057395935,0,0,2048,1364
57,18487,1319,547,182,160,1376.0,618.0625,0.9064230918884277,0.9548366665840149,0,0,2048,1364
58,82744,1739,1055,308,307,1760.0,1172.1875,0.906400740146637,0.9743549823760986,0,0,2048,1364
59,3454,31,522,67,83,32.0,575.4375,0.9048503637313843,0.9610352516174316,0,0,2048,1364
60,1453,429,210,84,35,480.0,234.4375,0.9048347473144531,0.9661476016044617,0,0,2048,1364
61,54687,79,0,470,285,352.0,106.5625,0.9021648168563843,0.9541147351264954,0,0,2048,1364
62,10220,1194,899,75,206,1248.0,1001.6875,0.9002666473388672,0.9552965760231018,0,0,2048,1364
63,1707,1530,513,46,68,1568.0,532.8125,0.8996268510818481,0.9676487445831299,0,0,2048,1364
64,4718,346,862,50,116,352.0,959.0625,0.8982241153717041,0.9563418030738831,0,0,2048,1364
65,1288,440,974,52,44,480.0,1001.6875,0.8960099220275879,0.9647509455680847,0,0,2048,1364
66,4707,1025,524,144,47,1120.0,532.8125,0.8902136087417603,0.9547060132026672,0,0,2048,1364
67,4139,164,48,84,62,224.0,106.5625,0.8895556926727295,0.9574568867683411,0,0,2048,1364
68,2301,997,631,72,35,1056.0,660.6875,0.886864423751831,0.9542760252952576,0,0,2048,1364
69,1087,90,912,45,31,96.0,916.4375,0.8848922252655029,0.9623655676841736,0,0,2048,1364
